Domain rating,UR,Domain traffic,External links,Page traffic,Nofollow,Anchor,Classification
85,65,50000,1200,5000,FALSE,quality seo services,Good
92,78,120000,2500,8000,FALSE,best practices guide,Good
78,45,25000,800,2000,FALSE,learn more,Neutral
45,20,1000,50,100,FALSE,click here,Neutral
25,15,500,25,50,TRUE,cheap viagra online,Toxic
30,18,800,40,80,TRUE,casino games online,Toxic
88,70,80000,1800,6000,FALSE,comprehensive tutorial,Good
65,35,15000,600,1500,FALSE,read more,Neutral
20,10,200,15,25,TRUE,gambling tips,Toxic
75,50,35000,900,3000,FALSE,expert analysis,Good
55,30,8000,400,800,FALSE,see details,Neutral
18,8,150,10,20,TRUE,porn videos,Toxic
90,80,100000,2000,7500,FALSE,industry insights,Good
70,40,20000,700,2500,FALSE,visit site,Neutral
22,12,300,20,30,TRUE,betting odds,Toxic
82,60,45000,1100,4000,FALSE,professional guide,Good
60,32,12000,500,1200,FALSE,more info,Neutral
28,16,600,35,60,TRUE,loan approval,Toxic
87,72,75000,1600,5500,FALSE,detailed review,Good
68,38,18000,650,2200,FALSE,continue reading,Neutral
